TimeStamp,Flow_Count,Flow_Rate,Fluor_V,CHL,xMiss_V,Trans,RTP_Temp,TSG_Temp,TSG_Cond,Salinity
,Hz,mL/sec,mV,ug/L,mV,%,C,C,S/m,psu
2023-01-23 00:00:00.07, 14.9, 25.7, 53, 0.89, 3462, 73.7, 1.208, 2.709, 2.9978, 33.249
2023-01-23 00:00:30.07, 14.9, 25.6, 52, 0.86, 3447, 73.3, 1.239, 2.701, 2.9959, 33.233
2023-01-23 00:01:00.07, 14.9, 25.7, 53, 0.89, 3446, 73.3, 1.277, 2.694, 2.9943, 33.221
2023-01-23 00:01:30.07, 14.9, 25.6, 50, 0.82, 3444, 73.3, 1.307, 2.688, 2.9930, 33.211
2023-01-23 00:02:00.07, 14.9, 25.6, 48, 0.77, 3450, 73.4, 1.329, 2.684, 2.9920, 33.202
2023-01-23 00:02:30.07, 14.9, 25.7, 51, 0.84, 3418, 72.7, 1.338, 2.679, 2.9909, 33.195
2023-01-23 00:03:00.07, 14.9, 25.7, 53, 0.89, 3418, 72.7, 1.346, 2.675, 2.9900, 33.188
2023-01-23 00:03:30.07, 15.0, 25.8, 48, 0.77, 3437, 73.1, 1.353, 2.671, 2.9898, 33.189
2023-01-23 00:04:00.07, 14.9, 25.7, 50, 0.82, 3450, 73.4, 1.361, 2.675, 2.9911, 33.202
2023-01-23 00:04:30.07, 14.8, 25.5, 49, 0.79, 3484, 74.1, 1.364, 2.684, 2.9942, 33.230
2023-01-23 00:05:00.07, 14.7, 25.3, 51, 0.84, 3521, 74.9, 1.370, 2.699, 2.9984, 33.266
2023-01-23 00:05:30.07, 14.5, 25.0, 53, 0.89, 3545, 75.4, 1.378, 2.716, 3.0028, 33.301
2023-01-23 00:06:00.07, 14.7, 25.3, 50, 0.82, 3565, 75.9, 1.390, 2.734, 3.0066, 33.329
2023-01-23 00:06:30.07, 14.7, 25.3, 54, 0.91, 3582, 76.2, 1.395, 2.751, 3.0097, 33.349
2023-01-23 00:07:00.07, 14.9, 25.6, 56, 0.96, 3578, 76.1, 1.398, 2.765, 3.0120, 33.363
2023-01-23 00:07:30.07, 14.8, 25.6, 51, 0.84, 3591, 76.4, 1.394, 2.777, 3.0138, 33.373
2023-01-23 00:08:00.07, 14.9, 25.7, 52, 0.87, 3588, 76.3, 1.388, 2.785, 3.0151, 33.381
2023-01-23 00:08:30.07, 14.9, 25.7, 53, 0.89, 3574, 76.0, 1.380, 2.775, 3.0149, 33.389
2023-01-23 00:09:00.07, 14.4, 24.9, 50, 0.82, 3583, 76.2, 1.364, 2.752, 3.0136, 33.397
2023-01-23 00:09:30.07, 14.9, 25.7, 52, 0.87, 3597, 76.5, 1.357, 2.725, 3.0122, 33.408
